============================================================
Quench simulation started: 2026-07-03T11:25:36.815
N_sites = 200, T_max = 10.0, dt = 0.05, bond_dim = 1500
Pre-quench parameters: v=1.0, w=1.0, Δ=0.0, V=0.5
Post-quench parameters: v=1.0, w=1.0, Δ=0.0, V=1.0
============================================================
Preparing interacting ground state (t < 0)...
Initial Ground State Energy: -162.59723088758437 (DMRG took 76.05 seconds)
Initial max bond dimension: 166
Constructing TEBD gates for quench...
Starting time evolution...
t = 6.6, S_EE = 1.2898, F = 0.2881, χ = 1500 / 1500, step_time = 193.2076 s, elapsed_time = 8595.2145 s, estimated_remaining_time = 4394.5458 s
Warning: Maximum bond dimension reached at t = 6.6. Consider increasing bond_dim.
t = 6.65, S_EE = 1.2912, F = 0.2881, χ = 1500 / 1500, step_time = 189.0228 s, elapsed_time = 8991.2223 s, estimated_remaining_time = 4495.6112 s
Warning: Maximum bond dimension reached at t = 6.65. Consider increasing bond_dim.
t = 6.7, S_EE = 1.2926, F = 0.2881, χ = 1500 / 1500, step_time = 201.0736 s, elapsed_time = 9399.48 s, estimated_remaining_time = 4595.3013 s
Warning: Maximum bond dimension reached at t = 6.7. Consider increasing bond_dim.
t = 6.75, S_EE = 1.2941, F = 0.2881, χ = 1500 / 1500, step_time = 200.7234 s, elapsed_time = 9808.1763 s, estimated_remaining_time = 4687.7313 s
Warning: Maximum bond dimension reached at t = 6.75. Consider increasing bond_dim.
t = 6.8, S_EE = 1.2955, F = 0.2881, χ = 1500 / 1500, step_time = 203.3203 s, elapsed_time = 10216.7708 s, estimated_remaining_time = 4772.798 s
Warning: Maximum bond dimension reached at t = 6.8. Consider increasing bond_dim.
t = 6.85, S_EE = 1.2969, F = 0.2881, χ = 1500 / 1500, step_time = 196.2871 s, elapsed_time = 10621.329 s, estimated_remaining_time = 4848.8676 s
Warning: Maximum bond dimension reached at t = 6.85. Consider increasing bond_dim.
